RecordTime,ÑÓ³Ù´ÎÊý(´Î),extra,SimpleTime
1669278112862,0.0,sg.partying.android.lite,429.386
1669278113861,3.0,sg.partying.android.lite,430.385
1669278114861,0.0,sg.partying.android.lite,431.385
1669278115862,3.0,sg.partying.android.lite,432.386
1669278116863,0.0,sg.partying.android.lite,433.387
1669278117866,0.0,sg.partying.android.lite,434.39
1669278118865,2.0,sg.partying.android.lite,435.389
1669278119867,4.0,sg.partying.android.lite,436.391
1669278120868,2.0,sg.partying.android.lite,437.392
1669278121873,4.0,sg.partying.android.lite,438.397
1669278122869,0.0,sg.partying.android.lite,439.393
1669278123871,0.0,sg.partying.android.lite,440.395
1669278124873,9.0,sg.partying.android.lite,441.397
1669278125873,0.0,sg.partying.android.lite,442.397
1669278126874,0.0,sg.partying.android.lite,443.398
1669278127875,1.0,sg.partying.android.lite,444.399
1669278128876,5.0,sg.partying.android.lite,445.4
1669278129876,0.0,sg.partying.android.lite,446.4
1669278130877,4.0,sg.partying.android.lite,447.401
1669278131877,9.0,sg.partying.android.lite,448.401
1669278132881,9.0,sg.partying.android.lite,449.405
1669278133882,15.0,sg.partying.android.lite,450.406
1669278134886,19.0,sg.partying.android.lite,451.41
1669278135883,19.0,sg.partying.android.lite,452.407
1669278136888,19.0,sg.partying.android.lite,453.412
1669278137889,20.0,sg.partying.android.lite,454.413
1669278138889,16.0,sg.partying.android.lite,455.413
1669278139890,0.0,sg.partying.android.lite,456.414
1669278140895,0.0,sg.partying.android.lite,457.419
1669278141895,4.0,sg.partying.android.lite,458.419
1669278142896,4.0,sg.partying.android.lite,459.42
1669278143896,3.0,sg.partying.android.lite,460.42
1669278144904,0.0,sg.partying.android.lite,461.428
1669278145898,1.0,sg.partying.android.lite,462.422
1669278146902,0.0,sg.partying.android.lite,463.426
1669278147899,0.0,sg.partying.android.lite,464.423
1669278148901,0.0,sg.partying.android.lite,465.425
1669278149899,0.0,sg.partying.android.lite,466.423
1669278150901,0.0,sg.partying.android.lite,467.425
1669278151901,0.0,sg.partying.android.lite,468.425
1669278152902,0.0,sg.partying.android.lite,469.426
1669278153903,0.0,sg.partying.android.lite,470.427
1669278154910,0.0,sg.partying.android.lite,471.434
1669278155905,1.0,sg.partying.android.lite,472.429
1669278156908,1.0,sg.partying.android.lite,473.432
1669278157905,0.0,sg.partying.android.lite,474.429
1669278158906,0.0,sg.partying.android.lite,475.43
1669278159914,1.0,sg.partying.android.lite,476.438
1669278160916,3.0,sg.partying.android.lite,477.44
1669278161919,0.0,sg.partying.android.lite,478.443
1669278162915,1.0,sg.partying.android.lite,479.439
1669278163916,0.0,sg.partying.android.lite,480.44
1669278164916,1.0,sg.partying.android.lite,481.44
1669278165917,1.0,sg.partying.android.lite,482.441
1669278166920,0.0,sg.partying.android.lite,483.444
1669278167921,3.0,sg.partying.android.lite,484.445
1669278168921,0.0,sg.partying.android.lite,485.445
1669278169923,1.0,sg.partying.android.lite,486.447
1669278170923,2.0,sg.partying.android.lite,487.447
1669278171923,2.0,sg.partying.android.lite,488.447
1669278172929,2.0,sg.partying.android.lite,489.453
1669278173927,2.0,sg.partying.android.lite,490.451
1669278174927,2.0,sg.partying.android.lite,491.451
1669278175932,0.0,sg.partying.android.lite,492.456
1669278176933,2.0,sg.partying.android.lite,493.457
1669278177932,0.0,sg.partying.android.lite,494.456
1669278178933,1.0,sg.partying.android.lite,495.457
1669278179936,0.0,sg.partying.android.lite,496.46
1669278180934,0.0,sg.partying.android.lite,497.458
1669278181936,0.0,sg.partying.android.lite,498.46
1669278182937,0.0,sg.partying.android.lite,499.461
1669278183937,0.0,sg.partying.android.lite,500.461
1669278184939,3.0,sg.partying.android.lite,501.463
1669278185939,1.0,sg.partying.android.lite,502.463
1669278186938,5.0,sg.partying.android.lite,503.462
1669278187942,0.0,sg.partying.android.lite,504.466
1669278188941,0.0,sg.partying.android.lite,505.465
1669278189943,0.0,sg.partying.android.lite,506.467
1669278190951,1.0,sg.partying.android.lite,507.475
1669278191947,5.0,sg.partying.android.lite,508.471
1669278192947,0.0,sg.partying.android.lite,509.471
1669278193949,1.0,sg.partying.android.lite,510.473
1669278194952,2.0,sg.partying.android.lite,511.476
1669278195953,0.0,sg.partying.android.lite,512.477
1669278196953,0.0,sg.partying.android.lite,513.477
1669278197953,0.0,sg.partying.android.lite,514.477
1669278198954,0.0,sg.partying.android.lite,515.478
1669278199955,0.0,sg.partying.android.lite,516.479
1669278200957,0.0,sg.partying.android.lite,517.481
1669278201958,1.0,sg.partying.android.lite,518.482
1669278202959,0.0,sg.partying.android.lite,519.483
1669278203959,0.0,sg.partying.android.lite,520.483
1669278204959,0.0,sg.partying.android.lite,521.483
