RecordTime,PSS-main-6006(MB),extra,SimpleTime
1669202896352,411.0039,,3799.165
1669202897208,411.46973,,3800.021
1669202898731,412.40234,,3801.544
1669202899849,412.55566,,3802.662
1669202900832,413.4922,,3803.645
1669202901734,403.375,,3804.547
1669202902818,403.86035,,3805.631
1669202903730,404.37207,,3806.543
1669202904694,404.87402,,3807.507
1669202905821,405.3994,,3808.634
1669202906850,405.87988,,3809.663
1669202907853,406.53906,,3810.666
1669202908747,407.07422,,3811.56
1669202909900,407.5791,,3812.713
1669202910798,408.1621,,3813.611
1669202911775,408.6211,,3814.588
1669202912853,409.11035,,3815.666
1669202913799,409.66895,,3816.612
1669202914756,410.167,,3817.569
1669202915831,410.66504,,3818.644
1669202916767,411.10938,,3819.58
1669202917799,411.6289,,3820.612
1669202918875,412.37305,,3821.688
1669202925216,415.76172,,3828.029
1669202926199,403.79785,,3829.012
1669202927232,404.35254,,3830.045
1669202928167,405.00293,,3830.98
1669202929269,405.42676,,3832.082
1669202930253,406.0586,,3833.066
1669202931336,406.49316,,3834.149
1669202932313,407.0039,,3835.126
1669202933749,407.80078,,3836.562
